sn	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/sn	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/sn	e99954acd70bdae9612dd3de2861fbbf39ef8161	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
server	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/server	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/server	bbfe42961972372fa3bc97ed73c6d0f0003aaf2e	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
operator-proxy	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/operator-proxy	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/operator-proxy	714f10f06bcc0b02420454310f335a835a0a5aa3	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
connect	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/connect	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/connect	3d29e1f444f6a621a3f44f36eae77041d8ede1c8	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdk	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/sdk	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/sdk	169d4c2c006661ceeb668f443f1464faecc48ca3	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
glog	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/glog	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/glog	892ade4a6be396b32ea82a550f243190b5992180	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
goidenticons	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/goidenticons	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/goidenticons	325750b38314313dc5f44c880ab6f12f6c1ecb3c	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
proxy	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/proxy	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/proxy	c11c7eb4052332a1b2183f001f086a8dddebf031	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
userwireguard	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/userwireguard	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/userwireguard	85fb1ca4086fa5dbfcda526bec7a17a894e691b9	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
vault	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/vault	/home/by/urnetwork/vault	d4ea0cbdf49630d8e1afc3e2184858cb58940fd3	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
xops	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/xops	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/xops	a9d2eb4bfbdf72d61243908a71659adff0fb8160	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
config	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/config	/home/by/urnetwork/temp/sn-private-services-qualification-20260913/workspace-physical/config	268f11b7e7d9c43eda3fd6f34447d26c2f0c21dc	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
