TestFinalCaptureCapacityPriorCarrierCanonicalV2KeepsTypedSourceBoundary	PASS
TestFinalCaptureCapacityPriorCarrierDecodeV2KeepsBoundedVerificationAllocation	PASS
TestProducerGateCaptureSelectionAdmitsAdditionalEvidenceSources	PASS
TestProducerGateCaptureSelectionAdmitsAdditionalOrdinarySources	PASS
TestProducerGateCaptureSelectionExcludesOfflineSemanticAnalysis	PASS
TestProducerGateCaptureSelectionPinsMeasuredMetadataRaceBudget	PASS
TestProducerGateCaptureSelectionRejectsMetadataPartitionDrift	PASS
TestProducerGateCaptureSelectionRejectsMetadataRaceBudgetLeak	PASS
TestProducerGateCaptureSelectionRejectsPopulationPartitionDrift	PASS
TestProducerGateCaptureSelectionRejectsPrivateFixtureSchedulingDrift	PASS
TestProducerGateCaptureSelectionRejectsSourceCensusDrift	PASS
TestProducerGateCaptureSelectionRequiresIndependentMetadata	PASS
TestProducerGateCaptureSelectionRequiresIndependentPopulation	PASS
TestProducerGateCaptureSelectionRequiresIndependentTypedPrior	PASS
TestProducerGateCaptureSelectionRequiresPrivateFixtureScheduling	PASS
TestProducerGateStateSelectionCoversEvidenceV2ContractAndInstallerSources	PASS
TestProducerGateStateSelectionCoversEvidenceV2OwnGuardSources	PASS
TestProducerGateStateSelectionCoversEvidenceV2ValidatorSources	PASS
TestProducerGateStateSelectionEvidenceV2KeepsAdjacentSourceCoverage	PASS
TestProducerGateStateSelectionEvidenceV2PreservesEveryOldFamily	PASS
TestProducerGateStateSelectionEvidenceV2RejectsDisconnectedPhases	PASS
TestProducerGateStateSelectionEvidenceV2RejectsEveryNewFamilyOmission	PASS
TestProducerGateStateSelectionEvidenceV2RejectsMissingExecutableModes	PASS
TestProducerGateStateSelectionEvidenceV2RejectsSelectorOwnershipDrift	PASS
TestProducerGateStateSelectionEvidenceV2RequiresCompleteSourceCensus	PASS
